"name","routes","st_astext"
"Grand Central","4,5,6","POINT(586351.9249086019 4511718.956208947)"
"Grand Central","7","POINT(586439.9208012195 4511668.379063283)"
"Grand Central","S","POINT(586291.8890907093 4511754.160542603)"
"Grand St","B,D","POINT(584982.427636957 4507957.547237275)"
"Houston St","1","POINT(583997.578415212 4509108.925082905)"
"Lexington Ave","N,R,W","POINT(587130.5405834558 4512941.986583056)"
"Broadway Jct","L","POINT(592687.1955062102 4503675.871254851)"
"Lexington Ave","F","POINT(587240.0342674754 4513149.17585825)"
"Lexington Ave","E,V","POINT(586857.7437421082 4512443.346063199)"
"Park Pl","2,3","POINT(583819.0838756685 4507318.437087814)"
"Prince St","N,R,W","POINT(584640.0297670547 4508631.039622933)"
"Rector St","R,W","POINT(583378.1956325959 4506784.234753328)"
"Roosevelt Island","F","POINT(588340.2232316983 4512557.853541745)"
"Spring St","C,E","POINT(584110.9649856851 4508764.733294029)"
"Spring St","6","POINT(584696.3146033001 4508413.075791954)"
"Times Sq","N,Q,R,S,W,7","POINT(585562.5989806924 4512142.482422512)"
"Union Sq","L,N,Q,R,W","POINT(585218.341281082 4509811.597287408)"
"W 4th St","A,C,E","POINT(584357.4354137853 4509456.742262071)"
"Wall St","4,5","POINT(583485.5667877333 4506786.036118457)"
"Wall St","2,3","POINT(583672.79257848 4506634.453582921)"
"Whitehall St","R,W","POINT(583393.7210710146 4506205.29314939)"
"103rd St","7","POINT(596007.5990844902 4511612.274832743)"
"104th St","A","POINT(598281.0909716443 4504106.446611034)"
"104th St","J,Z","POINT(597735.355662534 4505565.740227089)"
"111th St","A","POINT(598773.900953268 4504415.782361212)"
"111th St","J","POINT(598243.1426634331 4505763.123063047)"
"111th St","7","POINT(596587.7302071984 4511808.707173259)"
"121st St","J,Z","POINT(598935.2008452917 4506157.981090485)"
"Cortlandt St","1","POINT(583417.0865305619 4507127.515161693)"
"169th St","F","POINT(601952.6965195725 4507340.035322126)"
"179th St","F","POINT(602673.0301139336 4507551.329596813)"
"21st St","F","POINT(589275.5909511403 4511988.0692317365)"
"21st St","G","POINT(588763.4710197734 4510941.005401667)"
"23rd St","E,V","POINT(589062.3591774754 4511280.548531017)"
"30th Ave","N,W","POINT(591032.4011235549 4513440.026677555)"
"33rd St","7","POINT(590193.8012638002 4510958.491579905)"
"36th Ave","N,W","POINT(590340.9345281858 4512287.063707107)"
"36th St","G,R,V","POINT(590504.2399021076 4511788.1767326025)"
"39th Ave","N,W","POINT(590079.4344676089 4511853.40340317)"
"40th St","7","POINT(590821.1940613418 4510871.655646152)"
"45th Rd","7","POINT(589025.5898847169 4511122.23132895)"
"46th St","G,R,V","POINT(591652.2865125156 4512319.151062946)"
"46th St","7","POINT(591292.1848801761 4510806.901829578)"
"52nd St","7","POINT(591814.9023852558 4510926.22486271)"
"61st St","7","POINT(592581.2263878986 4511093.669605824)"
"63rd Dr","G,R,V","POINT(596070.5285994472 4509421.1749697765)"
"65th St","G,R,V","POINT(593068.1226422796 4511516.732574328)"
"67th Ave","G,R,V","POINT(596802.9533572209 4509079.824680317)"
"69th St","7","POINT(593177.3016483997 4511183.689421191)"
"71st Ave","E,F,G,R,V","POINT(597632.5898669554 4508479.0909239035)"
"74th St-Broadway","7","POINT(593588.4109370386 4511246.6879876545)"
"75th Ave","E,F","POINT(598165.618031348 4508174.155854527)"
"75th St","J,Z","POINT(595773.0978868263 4505120.233558718)"
"80th St","A","POINT(596525.9885362912 4503802.124294988)"
"82nd St","7","POINT(594221.3857636374 4511340.857704498)"
"85th St","J","POINT(596313.6606652862 4505239.17295736)"
"88th St","A","POINT(597128.9382753591 4503858.416494173)"
"90th St","7","POINT(594859.564991143 4511438.499795368)"
"Aqueduct","A","POINT(598610.7676973883 4502422.798563232)"
"Astoria Blvd","N,W","POINT(591304.466496576 4513790.811124608)"
"Beach 105th St","A,S","POINT(599325.8521763115 4493190.157561869)"
"Beach 25th St","A","POINT(604784.8633247989 4495075.953713851)"
"Beach 36th St","A","POINT(604200.2908643269 4494547.9425425725)"
"Beach 44th St","A","POINT(603629.9399884407 4494299.793432164)"
"Beach 60th St","A","POINT(602416.2392364632 4494208.485066108)"
"Beach 67th St","A","POINT(601880.8051682664 4494056.384646337)"
"Beach 90th St","A,S","POINT(600333.1000814735 4493671.167789414)"
"Beach 98th St","A,S","POINT(599847.664340968 4493411.321440332)"
"Broad Channel","A,S","POINT(600184.4852731377 4495915.430786842)"
"Broadway","N,W","POINT(590702.0409280716 4512889.608286194)"
"Court Sq","G","POINT(589156.1596038189 4511154.887789097)"
"Astoria-Ditmars Blvd","N,W","POINT(591921.3445074612 4514476.234223202)"
